Bot,maxIPOSpending,BuyRisk,SellRisk,PrefRanks,IPOcsv,LIVEcsv,EventID,AvgEarnings
bot_82,0,0.25,0.2,[],True,False,evt_11e77bcdb4362e13,394.66399999999993
bot_83,0,0.25,0.2,[],False,True,evt_11e77bcdb4362e13,412.22799999999995
bot_84,0,0.25,0.2,[],False,False,evt_11e77bcdb4362e13,411.9620000000001
bot_85,0,0.25,0.2,[0],True,True,evt_11e77bcdb4362e13,406.92199999999997
bot_86,0,0.25,0.2,[0],True,False,evt_11e77bcdb4362e13,408.69
bot_87,0,0.25,0.2,[0],False,True,evt_11e77bcdb4362e13,413.67999999999995
bot_88,0,0.25,0.2,[0],False,False,evt_11e77bcdb4362e13,443.312
bot_89,0,0.25,0.2,[1],True,True,evt_11e77bcdb4362e13,411.19399999999985
bot_90,0,0.25,0.2,[1],True,False,evt_11e77bcdb4362e13,410.188
bot_91,0,0.25,0.2,[1],False,True,evt_11e77bcdb4362e13,398.614
bot_92,0,0.25,0.2,[1],False,False,evt_11e77bcdb4362e13,435.242
bot_93,0,0.25,0.2,[2],True,True,evt_11e77bcdb4362e13,394.246
bot_94,0,0.25,0.2,[2],True,False,evt_11e77bcdb4362e13,417.43
bot_95,0,0.25,0.2,[2],False,True,evt_11e77bcdb4362e13,414.622
bot_96,0,0.25,0.2,[2],False,False,evt_11e77bcdb4362e13,432.154
bot_97,0,0.25,0.2,[3],True,True,evt_11e77bcdb4362e13,403.34999999999997
bot_98,0,0.25,0.2,[3],True,False,evt_11e77bcdb4362e13,451.01599999999996
bot_99,0,0.25,0.2,[3],False,True,evt_11e77bcdb4362e13,403.282
bot_100,0,0.25,0.2,[3],False,False,evt_11e77bcdb4362e13,431.23799999999994
bot_101,0,0.25,0.2,[4],True,True,evt_11e77bcdb4362e13,415.94399999999996
bot_102,0,0.25,0.2,[4],True,False,evt_11e77bcdb4362e13,444.55
bot_103,0,0.25,0.2,[4],False,True,evt_11e77bcdb4362e13,417.82199999999995
bot_104,0,0.25,0.2,[4],False,False,evt_11e77bcdb4362e13,434.99399999999997
bot_105,0,0.25,0.2,"[0, 1]",True,True,evt_11e77bcdb4362e13,383.186
bot_106,0,0.25,0.2,"[0, 1]",True,False,evt_11e77bcdb4362e13,383.022
bot_107,0,0.25,0.2,"[0, 1]",False,True,evt_11e77bcdb4362e13,401.36599999999993
bot_108,0,0.25,0.2,"[0, 1]",False,False,evt_11e77bcdb4362e13,434.212
bot_109,0,0.25,0.2,"[1, 2]",True,True,evt_11e77bcdb4362e13,407.8999999999999
bot_110,0,0.25,0.2,"[1, 2]",True,False,evt_11e77bcdb4362e13,367.956
bot_111,0,0.25,0.2,"[1, 2]",False,True,evt_11e77bcdb4362e13,397.3259999999999
bot_112,0,0.25,0.2,"[1, 2]",False,False,evt_11e77bcdb4362e13,400.87399999999997
bot_113,0,0.25,0.2,"[2, 3]",True,True,evt_11e77bcdb4362e13,432.8299999999999
bot_114,0,0.25,0.2,"[2, 3]",True,False,evt_11e77bcdb4362e13,417.3639999999999
bot_115,0,0.25,0.2,"[2, 3]",False,True,evt_11e77bcdb4362e13,396.03599999999994
bot_116,0,0.25,0.2,"[2, 3]",False,False,evt_11e77bcdb4362e13,428.304
bot_117,0,0.25,0.2,"[3, 4]",True,True,evt_11e77bcdb4362e13,377.20199999999994
bot_118,0,0.25,0.2,"[3, 4]",True,False,evt_11e77bcdb4362e13,419.5200000000001
bot_119,0,0.25,0.2,"[3, 4]",False,True,evt_11e77bcdb4362e13,414.33599999999996
bot_120,0,0.25,0.2,"[3, 4]",False,False,evt_11e77bcdb4362e13,413.924
bot_121,0,0.25,0.25,[],True,True,evt_11e77bcdb4362e13,415.936
bot_122,0,0.25,0.25,[],True,False,evt_11e77bcdb4362e13,398.544
bot_123,0,0.25,0.25,[],False,True,evt_11e77bcdb4362e13,403.96400000000006
